대책,period,긍정,중립,부정,기사수
6·27,before,5.407328352899324,80.042689434365,14.549982212735681,2811
6·27,after,5.005213764337852,78.51929092805005,16.475495307612096,2877
9·7,before,4.612546125461255,77.93357933579335,17.45387453874539,2710
9·7,after,4.9838651846539985,80.02868411617067,14.98745069917533,2789
10·15,before,4.231625835189309,78.76763177431329,17.0007423904974,2694
10·15,after,4.251207729468599,72.27053140096619,23.47826086956522,1035
