구,법정동,단지명,전용면적(㎡),계약일자,층,거래금액,동,매수자,매도자,도로명,거래유형,등기일자,정책여부
노원구,상계동,보람아파트,68.99,2025-10-14,14,61000,,개인,개인,한글비석로 480,중개거래,,정책후
노원구,상계동,은빛1단지,59.95,2026-01-21,7,50000,,개인,개인,동일로245길 162,중개거래,,정책후
노원구,월계동,녹천역두산위브아파트,84.9343,2024-06-24,1,69000,,개인,개인,마들로5길 25,중개거래,,정책전
노원구,중계동,중계무지개,39.96,2024-07-10,4,38000,,개인,개인,동일로208길 20,중개거래,,정책전
노원구,중계동,중계무지개,39.82,2024-07-10,10,38400,,개인,개인,동일로208길 20,중개거래,,정책전
동대문구,답십리동,답십리대우,84.99,2025-05-20,19,92000,,개인,개인,답십리로41길 33,중개거래,,정책전
동대문구,답십리동,답십리청솔우성,84.94,2025-05-24,6,82250,,개인,개인,전농로10길 20,중개거래,,정책전
동대문구,답십리동,답십리청솔우성,114.76,2025-06-04,17,88500,,개인,개인,전농로10길 20,중개거래,,정책전
동대문구,답십리동,답십리청솔우성,84.94,2025-06-13,3,83000,,개인,개인,전농로10길 20,중개거래,,정책전
동대문구,답십리동,답십리파크자이,84.62,2025-03-25,2,125000,,개인,개인,답십리로56길 105,중개거래,,정책전
동대문구,답십리동,동서울한양,59.67,2024-06-15,11,53300,,개인,개인,답십리로 184,중개거래,,정책전
동대문구,답십리동,래미안위브,59.99,2024-06-13,10,110000,,개인,개인,답십리로 130,중개거래,,정책전
동대문구,용두동,래미안 허브리츠,59.98,2024-08-30,9,110000,,개인,개인,정릉천동로 36,중개거래,,정책전
동대문구,용두동,신동아,58.59,2024-08-03,11,69800,,개인,개인,무학로26길 30,중개거래,,정책전
동대문구,용두동,이편한세상청계센트럴포레,74.98,2025-05-24,16,138000,,개인,개인,무학로 91,중개거래,,정책전
동대문구,용두동,이편한세상청계센트럴포레,59.9,2025-08-22,2,126000,,개인,개인,무학로 91,중개거래,,정책후
동대문구,용두동,청량리역한양수자인그라시엘,84.97,2025-09-17,21,150000,,개인,개인,고산자로32길 78,중개거래,,정책후
동대문구,이문동,래미안이문2차,59.79,2025-10-15,9,92500,,개인,개인,이문로12길 3-10,중개거래,,정책후
동대문구,이문동,중앙하이츠빌,114.84,2026-03-02,5,96000,,개인,개인,외대역동로 101,중개거래,,정책후
동대문구,전농동,래미안아름숲,84.91,2024-06-10,8,98000,,개인,개인,전농로16길 51,중개거래,,정책전
동대문구,전농동,전농우성,59.78,2025-02-17,2,56000,,개인,개인,사가정로 190,중개거래,,정책전
동대문구,청량리동,한신,59.97,2025-10-03,10,73500,,개인,개인,제기로 131,중개거래,,정책후
동대문구,휘경동,롯데,114.96,2025-05-09,8,81000,,개인,개인,망우로 95,중개거래,,정책전
동대문구,휘경동,휘경SK뷰,84.72,2025-07-12,19,129000,,개인,개인,휘경로 60,중개거래,,정책후
동대문구,휘경동,휘경동일하이빌,84.997,2025-06-02,13,78000,,개인,개인,장안벚꽃로5길 10,중개거래,,정책전
동대문구,휘경동,휘경미소지움,59.84,2025-03-31,7,58500,,개인,개인,망우로 105,중개거래,,정책전
동작구,대방동,대림아파트,59.84,2025-06-18,1,103000,,개인,개인,여의대방로44길 10,중개거래,,정책전
동작구,대방동,우정,59.89,2026-03-21,3,87000,,개인,개인,여의대방로62길 23,중개거래,,정책후
동작구,사당동,사당우성3,84.66,2024-12-07,3,117000,,개인,개인,동작대로29길 115,중개거래,,정책전
동작구,상도동,롯데캐슬비엔,100.52,2026-01-06,4,116000,,개인,개인,양녕로 170,중개거래,,정책후
동작구,신대방동,우성1차,127.02,2025-05-17,2,129000,,개인,개인,여의대방로 22,중개거래,,정책전
동작구,흑석동,흑석동양아파트,59.511,2025-03-29,3,99000,,개인,개인,서달로1길 17,중개거래,,정책전
마포구,도화동,마포동원베네스트,58.65,2025-10-01,4,115000,,개인,개인,도화4길 41,중개거래,,정책후
마포구,창전동,창전래미안,84.93,2024-06-16,8,108000,,개인,개인,서강로 95,중개거래,,정책전
마포구,창전동,해모로,83.871,2024-10-18,14,153000,,개인,개인,토정로 167,중개거래,,정책전
서대문구,남가좌동,래미안루센티아,84.95,2025-05-28,2,117000,,개인,개인,거북골로 100,중개거래,,정책전
서대문구,북가좌동,신일해피트리,84.98,2026-03-30,10,83000,,개인,개인,수색로 147-1,중개거래,,정책후
서대문구,홍은동,풍림2,66.69,2025-09-08,5,60000,,개인,개인,세검정로1길 35,중개거래,,정책후
서대문구,홍제동,홍제센트럴IPARK,84.9728,2026-04-08,2,135000,,개인,개인,통일로 395,중개거래,,정책후
서대문구,홍제동,홍제한양,60.06,2025-04-15,5,69000,,개인,개인,통일로25길 30,중개거래,,정책전
서초구,서초동,래미안 리더스원,59.97,2024-06-15,18,237000,,개인,개인,서운로 62,중개거래,,정책전
서초구,서초동,삼풍아파트,79.47,2025-03-22,13,304000,,개인,개인,서초중앙로 200,중개거래,,정책전
서초구,서초동,삼풍아파트,79.47,2025-07-01,6,315000,,개인,개인,서초중앙로 200,중개거래,,정책후
서초구,서초동,서초대우아이빌,65.088,2026-03-08,5,77800,,개인,개인,서초대로58길 10,중개거래,,정책후
성북구,길음동,길음뉴타운7단지(두산위브),84.96,2025-02-03,12,100000,,개인,개인,길음로13길 22,중개거래,,정책전
성북구,길음동,길음뉴타운8단지(래미안),84.92,2025-06-13,19,107800,,개인,개인,길음로 33,중개거래,,정책전
성북구,길음동,길음동동부센트레빌(1278-0),59.998,2025-06-06,5,79000,,개인,개인,숭인로2길 61,중개거래,,정책전
성북구,삼선동2가,삼선현대힐스테이트,84.83,2025-06-12,9,85800,,개인,개인,낙산길 243-15,중개거래,,정책전
성북구,장위동,래미안장위퍼스트하이,101.72,2025-05-09,4,119500,,개인,개인,한천로 713,중개거래,,정책전
성북구,종암동,래미안세레니티,59.97,2025-05-16,21,89500,,개인,개인,종암로23길 35,중개거래,,정책전
성북구,종암동,래미안세레니티,59.97,2025-07-19,14,88700,,개인,개인,종암로23길 35,중개거래,,정책후
송파구,가락동,대림,69.74,2025-01-07,7,98000,,개인,개인,송이로 88,중개거래,,정책전
송파구,가락동,헬리오시티,84.99,2024-06-24,1,193000,,개인,개인,송파대로 345,중개거래,,정책전
송파구,거여동,거여5단지,59.74,2024-10-02,6,76400,,개인,개인,양산로4길 16,중개거래,,정책전
송파구,마천동,신동아,59.88,2026-01-10,1,60000,,개인,개인,성내천로21길 12,중개거래,,정책후
송파구,문정동,파크하비오,84.9342,2026-01-06,4,185000,,개인,개인,송파대로 111,중개거래,,정책후
송파구,방이동,원진아뜨리에,125.75,2026-04-10,1,118000,,개인,개인,백제고분로50길 29-23,직거래,,정책후
송파구,방이동,코오롱아파트,84.95,2025-06-17,15,154700,,개인,개인,오금로31길 28,중개거래,,정책전
송파구,삼전동,한양,77.01,2025-11-06,5,83000,,개인,개인,삼전로4길 4-28,중개거래,,정책후
송파구,송파동,가락삼익맨숀,84.828,2025-07-11,8,235000,,개인,개인,오금로32길 5,중개거래,,정책후
송파구,송파동,현대,84.96,2026-04-02,3,160000,,개인,개인,오금로32길 42,중개거래,,정책후
